"","B_R-B2_1_5404","B_R-B3_1_5405","B_R-B4_1_5406","B_R-D5_1_5407","B_R-D6_1_5408","B_R-D7_1_5409","B_R-D8_1_5410","B_R-D9_1_5411","B_R-E1_1_5412","B_R-E2_1_5413","L_R-E3_1_5424","L_R-E4_1_5425","L_R-E5_1_5426","L_R-E6_1_5427","L_R-E7_1_5428","L_R-E8_1_5429","L_R-F2_1_5433","L_R-F3_1_5434","M_R-E9_1_5435","M_R-F1_1_5436","M_R-F2_1_5437","M_R-F2_1_5439","M_R-F3_1_5438","M_R-F3_1_5440","P_R-C1_1_5414","P_R-C2_1_5415","P_R-C3_1_5416","P_R-C4_1_5417","P_R-C5_1_5418","P_R-C6_1_5419","P_R-C7_1_5420","P_R-C8_1_5421","P_R-C9_1_5422","P_R-D1_1_5423"
"Q80U62",3.10707676559953,4.06908800347533,1.58763445940656,4.20167390015714,3.74646000429496,NA,0.969973901343113,2.43182161019445,NA,NA,NA,NA,0.35571190551225,NA,NA,2.5697188718795,3.31601419262373,1.59686303519464,2.25005840140339,2.79021229682321,NA,1.68464555152187,NA,2.10582930208461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U63",8.31418355829037,8.85996543792977,9.90583622473614,9.15879729488948,8.48472585314887,18.56679671523,8.21145627331067,11.8398583650864,7.52045253441913,6.64822992645828,2.16302732504164,NA,1.3648739455742,1.25624990630133,1.51461140405075,NA,1.75355544916279,1.82211186048358,0.555744303493859,0.899227601265142,1.58674504061308,1.73415107298421,1.43077244954089,1.8291848058428,3.29935404705147,NA,1.80274068510261,2.57471110397202,2.37898579391844,2.93675875043499,1.79547855839825,1.58646889452589,3.71124606423734,2.73534943911832
"Q80U70",10.9812961492638,44.0660611338649,NA,11.1194427419451,NA,NA,NA,1.43838145811351,NA,NA,2.760436022076,NA,NA,NA,NA,0.638273787343753,NA,NA,0.643662906502832,0.721024336947367,2.06429604078705,1.98356914489047,2.20657133920541,1.57352463850913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80U72",3.61403430308984,2.76135726483678,4.65237419251381,5.82822281028299,5.09317945251391,9.54552463276343,5.500083144899,5.00563017165502,3.35130282341415,2.15992025919773,2.7722349218671,1.28944253068868,3.31253939577119,1.20166436299236,2.37525492004238,1.50756559830899,2.40937082547944,1.9773724295252,0.840993127453677,0.823672125759902,2.92016763811083,1.57789197609921,1.37401485738942,1.87284200631602,2.55769823227271,3.36580493745596,2.35921956991411,1.42916383095718,1.98457401827553,3.77202498304928,1.54921709490638,2.76216929715508,3.3006098535857,3.13236907404508
"Q80U78",1.92744712290501,1.59578395828997,1.66041028846752,1.58336942571616,1.64724498107792,2.96107334073035,1.67593701997664,2.40322365246087,3.45761068926031,NA,1.22260606569649,0.140929654367274,NA,NA,0.538481802900585,0.478316331142583,2.24185038335697,2.97169762399547,1.00298396214008,0.791957004705874,1.24839246304116,1.72744579938347,NA,4.93798400516502,0.66882091260504,3.30171080071322,NA,1.09915676127105,1.16413659596702,1.51836859615841,NA,NA,NA,1.56634286375459
"Q80U87",1.02044821598146,2.1997095954613,2.28985633887587,1.08297736823728,2.79822418210947,4.42421856200923,1.25629944769606,3.14095045984632,1.4726745626178,NA,NA,NA,NA,NA,0.597171138786645,NA,NA,NA,NA,1.85386242894095,0.959406830333892,NA,1.22497543161659,3.13653997299412,NA,NA,NA,NA,NA,0.636588323028466,NA,NA,NA,NA
"Q80U93",3.75838062197643,3.14171448765353,2.6572585602886,3.97802665002762,2.16874409048428,3.01964968396507,3.10920844723819,3.66453744733217,3.27023445198409,2.70363372086407,1.55758280126987,2.06404168966087,2.07873918144447,0.903439306564384,0.876441081872486,1.89149769597763,1.12357727979015,1.56326201542807,1.41092671175629,1.12202263481908,2.52456801844753,2.77316753365376,1.28391885170383,1.59081760702875,2.52525429758904,2.84959483906,2.22956021666885,1.67141478111963,1.90760181053742,3.10115754195161,2.19654657683845,2.34949121192422,2.0919610506672,1.96001184342494
"Q80U95",3.30859060005922,3.87120210885262,3.1043544297256,3.83150080389252,3.63795436831999,5.10110323031701,2.9480561500762,5.52706560487913,4.46134582599065,2.63827061650914,1.36672257862184,1.50585004371727,0.909548205900228,0.175434477529821,0.758961920352714,1.17051324516632,2.10663214939237,NA,1.02634377879534,1.06417104877205,2.87855529290356,2.42776293444621,3.15055097480037,2.43689208226865,NA,NA,1.24438278756116,0.665886943907642,NA,NA,1.20558823434314,1.81427984438013,NA,1.65219458734147
"Q80UF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6249198635774,NA,NA,NA,NA,2.76039124002067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80UF7",NA,NA,0.446319991064063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23384098447039,8.15703338436745,3.18689197965509,5.20526508574283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80UF9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71228377132964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q80UG1",NA,5.36940488483125,1.90206216061592,0.438843917455975,1.78984230958795,4.64605770777446,NA,5.63650541251991,5.41166150002662,1.73210727612535,2.66482352111451,1.93431527180042,1.16695815118098,0.684170547142689,NA,NA,4.53935338484802,NA,NA,NA,NA,NA,NA,NA,7.5333668493475,2.84360528145381,2.92461851860482,1.76925492999825,2.19941471802686,3.05644158302001,NA,NA,2.82000597492016,1.30260385133786
"Q80UG2",8.07895439800496,9.92131516613653,6.76086048732682,9.80407542165431,7.30302910379064,9.8674086641493,7.0381552021544,7.92286361240667,5.16312391819257,4.02160359956329,NA,0.705229954136483,NA,NA,1.24308473755434,NA,2.16434380006167,0.0693147180559945,NA,1.18600125062468,NA,2.54068424864001,0.720134105664374,2.11678421606448,NA,2.51867987784033,NA,NA,NA,NA,NA,NA,NA,2.25912907221893
"Q80UG5",8.82074461829884,10.3742359333085,9.54295104065496,10.8490599883194,11.4271085202814,18.957591123904,9.94875711653629,12.5030035773931,12.9818228269681,7.44814605201259,2.45594348315716,1.70120143361263,1.7794850619214,1.04272388796227,0.75335461432613,1.36819296465426,1.71658454850257,1.05331243025549,0.98823886268016,1.38727547378331,1.83748783307902,2.90951437705514,1.96617534531521,2.36004226698147,1.88095724428263,0.960371352793796,0.0904868118593053,1.57464544100934,0.95714551264884,2.82442196414751,2.33555193773524,2.10743307764202,2.63761545674765,0.912171198255515
